Time [s], x, der(x)
0.2135, 0.807752, -0.807752
0.214, 0.807348, -0.807348
0.2145, 0.806945, -0.806945
0.215, 0.806541, -0.806541
0.2155, 0.806138, -0.806138
0.216, 0.805735, -0.805735
0.2165, 0.805333, -0.805333
0.217, 0.80493, -0.80493
0.2175, 0.804528, -0.804528
0.218, 0.804125, -0.804125
0.2185, 0.803723, -0.803723
0.219, 0.803322, -0.803322
0.2195, 0.80292, -0.80292
0.22, 0.802519, -0.802519
0.2205, 0.802118, -0.802118
0.221, 0.801717, -0.801717
0.2215, 0.801316, -0.801316
0.222, 0.800915, -0.800915
0.2225, 0.800515, -0.800515
0.223, 0.800115, -0.800115
0.2235, 0.799715, -0.799715
0.224, 0.799315, -0.799315
0.2245, 0.798916, -0.798916
0.225, 0.798516, -0.798516
0.2255, 0.798117, -0.798117
0.226, 0.797718, -0.797718
0.2265, 0.797319, -0.797319
0.227, 0.796921, -0.796921
0.2275, 0.796522, -0.796522
0.228, 0.796124, -0.796124
0.2285, 0.795726, -0.795726
0.229, 0.795329, -0.795329
0.2295, 0.794931, -0.794931
0.23, 0.794534, -0.794534
0.2305, 0.794136, -0.794136
0.231, 0.793739, -0.793739
0.2315, 0.793343, -0.793343
0.232, 0.792946, -0.792946
0.2325, 0.79255, -0.79255
0.233, 0.792154, -0.792154
0.2335, 0.791758, -0.791758
0.234, 0.791362, -0.791362
0.2345, 0.790966, -0.790966
0.235, 0.790571, -0.790571
0.2355, 0.790176, -0.790176
0.236, 0.789781, -0.789781
0.2365, 0.789386, -0.789386
0.237, 0.788991, -0.788991
0.2375, 0.788597, -0.788597
0.238, 0.788203, -0.788203
0.2385, 0.787809, -0.787809
0.239, 0.787415, -0.787415
0.2395, 0.787021, -0.787021
0.24, 0.786628, -0.786628
0.2405, 0.786235, -0.786235
0.241, 0.785842, -0.785842
0.2415, 0.785449, -0.785449
0.242, 0.785056, -0.785056
0.2425, 0.784664, -0.784664
0.243, 0.784272, -0.784272
0.2435, 0.783879, -0.783879
0.244, 0.783488, -0.783488
0.2445, 0.783096, -0.783096
0.245, 0.782705, -0.782705
0.2455, 0.782313, -0.782313
0.246, 0.781922, -0.781922
0.2465, 0.781531, -0.781531
0.247, 0.781141, -0.781141
0.2475, 0.78075, -0.78075
0.248, 0.78036, -0.78036
0.2485, 0.77997, -0.77997
0.249, 0.77958, -0.77958
0.2495, 0.77919, -0.77919
0.25, 0.778801, -0.778801
0.2505, 0.778411, -0.778411
0.251, 0.778022, -0.778022
0.2515, 0.777633, -0.777633
0.252, 0.777245, -0.777245
0.2525, 0.776856, -0.776856
0.253, 0.776468, -0.776468
0.2535, 0.77608, -0.77608
0.254, 0.775692, -0.775692
0.2545, 0.775304, -0.775304
0.255, 0.774916, -0.774916
0.2555, 0.774529, -0.774529
0.256, 0.774142, -0.774142
0.2565, 0.773755, -0.773755
0.257, 0.773368, -0.773368
0.2575, 0.772982, -0.772982
0.258, 0.772595, -0.772595
0.2585, 0.772209, -0.772209
0.259, 0.771823, -0.771823
0.2595, 0.771437, -0.771437
0.26, 0.771052, -0.771052
0.2605, 0.770666, -0.770666
0.261, 0.770281, -0.770281
0.2615, 0.769896, -0.769896
0.262, 0.769511, -0.769511
0.2625, 0.769126, -0.769126
0.263, 0.768742, -0.768742
0.2635, 0.768358, -0.768358
0.264, 0.767974, -0.767974
0.2645, 0.76759, -0.76759
0.265, 0.767206, -0.767206
0.2655, 0.766822, -0.766822
0.266, 0.766439, -0.766439
0.2665, 0.766056, -0.766056
0.267, 0.765673, -0.765673
0.2675, 0.76529, -0.76529
0.268, 0.764908, -0.764908
0.2685, 0.764525, -0.764525
0.269, 0.764143, -0.764143
0.2695, 0.763761, -0.763761
0.27, 0.763379, -0.763379
0.2705, 0.762998, -0.762998
0.271, 0.762616, -0.762616
0.2715, 0.762235, -0.762235
0.272, 0.761854, -0.761854
0.2725, 0.761473, -0.761473
0.273, 0.761093, -0.761093
0.2735, 0.760712, -0.760712
0.274, 0.760332, -0.760332
0.2745, 0.759952, -0.759952
0.275, 0.759572, -0.759572
0.2755, 0.759192, -0.759192
0.276, 0.758813, -0.758813
0.2765, 0.758434, -0.758434
0.277, 0.758054, -0.758054
0.2775, 0.757676, -0.757676
0.278, 0.757297, -0.757297
0.2785, 0.756918, -0.756918
0.279, 0.75654, -0.75654
0.2795, 0.756162, -0.756162
0.28, 0.755784, -0.755784
0.2805, 0.755406, -0.755406
